source,rating
pea,-68.76973684210526
peace,-85.45695364238411
peanut,-15.848684210526315
pedophile,92.13548387096775
pelican,-38.4635761589404
penguin,-55.615894039735096
pepper,-39.496688741721854
peril,64.62091503267973
peroxide,24.993197278911566
pet,-37.56578947368421
petrol,16.74
petroleum,24.596026490066226
pharmacist,-53.204081632653065
pharmacy,-49.946308724832214
phobia,22.37748344370861
picnic,-65.93959731543625
pig,-35.84931506849315
pimp,58.76158940397351
pinball,-64.7748344370861
pipe,-17.43708609271523
piranha,59.06578947368421
pistol,72.60135135135135
plague,83.05844155844156
planes,-10.137254901960784
plants,-50.99333333333333
plasma,-22.5
plastic,-0.7986577181208053
playground,-30.724137931034484
poison,89.47333333333333
poisonous,78.17567567567568
poker,18.105960264900663
policeman,-18.445945945945947
pollen,-12.919463087248323
polo,-14.041379310344828
pond,-11.212328767123287
pool,-9.506666666666666
poop,4.993464052287582
popcorn,-62.93150684931507
porn,13.817567567567568
pornography,18.695364238410598
pot,-19.805194805194805
poverty,61.888888888888886
predator,73.77777777777777
pregnancy,15.513333333333334
prescription,-28.96
prison,67.85714285714286
procrastination,15.407894736842104
projectile,43.68627450980392
propeller,24.45394736842105
prostitution,60.05298013245033
protein,-66.08783783783784
psychiatry,-27.27027027027027
psychosis,61.08843537414966
puddle,-45.44078947368421
puke,25.20689655172414
pumpkin,-69.83006535947712
punch,48.76027397260274
quake,63.03973509933775
rabies,82.09803921568627
racetrack,20.534246575342465
racing,31.916666666666668
racket,-27.915584415584416
radiation,74.56849315068493
rage,55.2751677852349
railing,-26.164473684210527
railway,0.8675496688741722
raincoat,-74.18243243243244
rampage,62.28476821192053
rat,22.36842105263158
raw,16.407894736842106
razor,29.688741721854306
recover,-56.86486486486486
recovery,-38.29801324503311
recreation,-49.248366013071895
refrigerator,-56.689655172413794
refugee,-12.253424657534246
rehab,-29.13422818791946
relationship,-15.453333333333333
relief,-70.20779220779221
religion,21.980392156862745
revolution,43.77777777777778
revolver,72.76510067114094
rice,-68.74829931972789
riding,4.980392156862745
roads,20.75
robotics,-22.77124183006536
rocket,38.96621621621622
roof,-18.91216216216216
rust,11.151315789473685
salmon,-55.25657894736842
salt,-20.94
sand,-46.82993197278912
satellite,-40.913907284768214
sauna,-24.751677852348994
schizophrenia,60.23809523809524
school,-42.86486486486486
science,-29.3841059602649
scissors,8.060402684563758
scooter,6.635761589403973
scorpion,61.38095238095238
scream,-1.2027027027027026
seagull,-36.486666666666665
seatbelt,-71.31333333333333
seaweed,-53.13422818791946
sedative,18.790849673202615
sex,-16.869281045751634
sexism,43.0472972972973
shaving,-19.370860927152318
shelter,-70.47651006711409
shingles,39.85333333333333
shock,51.745098039215684
shooter,83.52
shotgun,79.84868421052632
shots,31.662251655629138
shower,-52.35099337748344
sickness,42.913907284768214
skateboard,16.838926174496645
